,dr2_source_id
0,250338220460615424
1,219860509753897728
2,2082542750359206144
3,442556561216146048
4,530314219225859456
5,436473616215714048
6,442637409681353472
7,348892464178559104
8,398868875433180032
9,449384700220923264
10,436346141586111360
11,436463961129338240
12,351652581960923008
13,237880818138982144
14,276078779802103808
15,448026253606629376
16,441652968818106880
17,248904556077914752
18,514735994893416960
19,251649628596358400
20,2163304215886807424
21,445733423965799040
22,435424750841023488
23,441815146783142400
24,249164423080454912
25,245195632780293632
26,2081492819833168512
27,240751505560608256
28,980875736185905920
29,2218826662559650560
30,249160025033982464
31,986357626283524352
32,486778437849175680
33,408531383620518912
34,467044437514267520
35,436194580780791680
36,409380545894916096
37,358919941505507072
38,449585910849478912
39,441584627298888960
40,441497319204533376
41,435306244100713728
42,244932849501355520
43,459980174085449856
44,457946459832991616
45,448704343043954176
46,276265868576099328
47,242038797456791808
48,449611508854184576
49,439681991144937216
50,447869740701681920
51,2082915038125850112
52,441729419235245696
53,447433341962048640
54,462398760370579328
55,251148869768783104
56,464879052443189888
57,249087285466247040
58,448128783066111744
59,247931114629354368
60,443702733369514496
61,344188444197687936
62,3448544866778118400
64,934171231015568000
66,254409986895937280
68,443970258291343872
71,452320087032817792
73,462484350477522560
76,3389509338700825472
78,2168494529237099008
81,218122048726423808
83,978170628342390272
85,523210102803416832
89,444826777848777984
92,966332152287326080
94,354153111920515200
96,515519740524516992
99,2079023179278234112
102,2126395431599205888
105,276404823658849408
107,271928054687544448
109,152916508075102592
111,443571960204725888
114,448670567419349760
117,2082067142862169088
120,2178589179857735424
123,172441738640372736
125,160006708806615552
127,2076057487181907328
130,449492826020163200
133,2170000069897620864
136,1113760924811558016
140,352885856050479616
141,435166503048736000
142,358858265774938624
143,461072508828461824
144,227098427299893760
145,232471774986777856
146,246872559812147072
147,462482632490645120
148,353796419179533056
149,435405303228775680
150,158794458581628416
151,441715915858562944
152,441394789743992064
153,242161427362292352
154,212577417749125376
155,442084561489950720
156,1118628943823526784
157,241699529401329408
158,435621494703658240
159,231825330868662656
160,245040223684619648
161,447886272033181440
162,2168557029602383232
163,2070581953629564416
164,249318148550233472
165,2218250655906482304
166,441370600488018048
167,441640221355365760
168,244788847837136896
169,351620936642019456
170,226075366089897600
171,511065550197334656
172,442612464510083840
173,2177060686894568064
174,143044302406892416
175,2167140515034046464
176,187954988718885760
177,355625662930939648
178,234091866711817472
179,2078292381993379968
180,436533947615760384
181,987283930469428736
182,340324725977183488
183,265958741637644032
184,249236647249997696
185,245406807732412160
186,142796499973911808
187,449468778500412928
188,442826044645857408
189,2167527646201522304
190,232143192807734528
191,248012444130493696
192,207330410823596416
193,523413271935393280
194,341482065044486144
195,445692402733773952
196,441405922299247616
197,436697538629398656
198,274848568032380032
199,441451723829955072
200,198519710613648128
201,232140066071515520
202,450171091554107264
203,2083092196937347712
204,441615413624665088
205,514673700688930048
206,467120368235067008
207,248045876155738240
208,246388740337402368
209,441380805330173824
210,3447335330970458112
211,435705298104337920
212,231659132813603968
213,462421025480805760
214,228325069960280448
215,441774911528969088
216,438625910224539392
217,441390700935150336
218,457927699416054272
219,442011581405918720
220,435211342506946688
221,274839286598078848
222,434781330382847744
223,249009220140976128
224,225724892459307648
225,436453584488018048
226,249340585458616320
227,2011823227609588224
228,2174070805539848192
229,446640525359205632
230,438223592047536640
231,251087228398581120
232,199447084249435008
233,223111907374116864
234,171493616019595520
235,243800008926727936
236,441513124684160000
237,247971315522875136
238,442520174253644032
239,472245436751212672
240,244217273590772480
241,1122384978623841408
242,2078896357482941696
243,260284093408914432
244,142081302019408896
245,199601943591020416
246,234871974505484288
247,337276845385182464
248,522935362337895552
249,2199840609315217280
250,1998700826906086144
251,271211143044528128
252,441920455079650304
253,245574277097277696
254,441650563636259968
255,2167290048613351168
256,441494192468393728
257,247426988550803072
258,435641079753756544
259,170735777634659456
260,227621726116173312
261,232078596499852544
262,2165520861380863872
263,249812756982996992
264,229372045548642816
265,441866411512345856
266,2198279165370980224
267,186216351595120768
268,244710988669170560
269,241035591876195328
270,217740415114272896
271,420491179612718208
272,446395093747218816
273,449268392507442176
274,2013637937193278976
275,356054472467104384
276,264437528642498560
277,435374757422055168
278,220489572141949568
279,2170284942179709824
280,243101715963884928
281,452553355299049984
282,2011421214367026048
283,2079579940173649280
284,436195096176878592
285,243086494599578240
286,2082759521646392832
287,158547519437976064
288,236985197197941632
289,245420070591755904
290,248940019627633280
291,458361147520760576
292,253575491934296960
293,253958426917976192
294,447361152152230656
295,436253851328943104
296,2168530022847665408
297,253575526294032768
298,435680765247601536
299,241630363247656448
300,3453420101334121472
301,239514146959213952
302,423536590609129344
303,441737455113305088
304,252173752044912000
305,158970625255599744
306,354143766071577728
307,436477017829810944
308,438229982958738432
309,441716774852013568
310,160969537395889792
311,436946921607617152
312,226898453623006464
313,171261206749997696
314,450859866869548544
315,441662349026548224
316,421818053931122176
317,230355107723858688
318,417387125148595712
319,461001178011704960
320,504555200110452480
321,442049377118210688
322,3292127517973316992
323,439925051933342720
324,198582077836222720
325,441515083189174784
326,1994970944172531456
327,2081402002738265728
328,199750373362154240
329,359014327706244736
330,245628118808909056
331,177998876564778112
332,357411652069037952
333,466565119164904576
334,441371528196382464
335,248995510605625216
336,249672122574436096
337,243816329802428544
338,446076956929732608
339,441103002545406464
340,249364465476847744
341,179364882324515968
342,161300039421933184
343,202785815730386432
344,247028415584955648
345,161097664859943296
346,178358107630430336
347,224297765024996864
348,245793664026998528
349,430808348197793152
350,464078436180970368
351,243137072134354048
352,224610095047453184
353,173117525974708096
354,166173869528755968
355,2173940238537693568
356,426662605247416448
357,233987279967374464
358,250977380315273088
359,2180533941047034368
360,229651454640688128
361,270380290211175680
362,174917392149086592
363,2081170181890343936
364,435407635392414336
365,444103745874052480
366,442736674964779648
367,1997820294195124224
368,2207730326794421888
369,251158073879931520
370,446486353212747008
371,524441658906908160
372,223539892274943104
373,249164148203137920
374,515423052219377152
375,422128425449665408
376,447602460594472576
377,428342762091655168
378,180084027351378560
379,435560334369389440
380,442251098842467968
381,231910611738547840
382,2172251556166765696
383,227849428101004032
384,2084478371858053760
385,355731628365259264
386,244664259425318784
387,249209331258050816
388,277805429670237952
389,225738949891667712
390,171150117419371904
391,447382833146819584
392,435701003137104896
393,248755301674957696
394,423737148403508864
395,2082241759050306944
396,229852772646555520
397,230386722976844160
398,2128087442555586688
399,461768327888957440
400,461461804664397056
401,250552144192052480
402,441430111554726784
403,4538445491620915840
404,441382557676778624
405,2079429311383640448
406,2172653294535244544
407,994559119736213504
408,458458278192555648
409,435429011448232064
410,199986905801230592
411,459980556340904192
412,2011011543206742528
413,2083914322396675328
414,2068765904017962624
415,172804852355164800
416,176126683141831296
417,254779285363943552
418,2173115055064962304
419,2071030863622401152
420,222939696365435136
421,441835346009033984
422,243492111310702208
423,448185476634126208
424,216874858942910592
425,430569341859989248
426,2207346597232404096
427,143522418166526592
428,453703959854582528
429,244858082709373312
430,242372774113285248
431,464916298400135552
432,436303329352243200
433,435712582369002624
434,3223541838059020288
435,2011815427948972672
436,238122233959247488
437,2062464087494359552
438,423254497156733440
439,175724502404215424
440,467306598020125568
441,441452067427314432
442,246596891631623168
443,275989414421734272
444,257345923462418560
445,463311836056460160
446,199162997934516992
447,250834198984686720
448,435242919106224256
449,436536838133473408
450,1998507317162594688
451,157384334918060544
452,436179290697325824
453,441405784860290176
454,2174373549201209216
455,458389803540145152
456,2126704806681773696
457,186097084645999488
458,453929909497373056
459,441576243523280640
460,441466189279599104
461,444970298474798080
462,246770648828175488
463,530301025086469632
464,437601096669764736
465,443632055387911936
466,2174323414028790272
467,155138930312875520
468,217737528896201088
469,227379043283984000
470,169358982917113728
471,182015663125882880
472,235786905619492096
473,176787042958610944
474,216796896699976576
475,442265087555890176
476,434698385971110400
477,249358104626695424
478,244178756323183872
479,230293882967164800
480,2197861247872657792
481,437671461116220160
482,435617886930938112
483,249182461943340032
484,349071547134765824
485,2082337244765136896
486,435645340361757440
487,436438672361949312
488,436536254017981696
489,441863216056761472
490,424921906539457024
491,225470492957610624
492,221625741312364160
493,242053950101197184
494,463515932901756672
495,444663603454525696
496,439722604355413504
497,457200230731886592
498,441558445178565120
499,257481266472704640
500,441422170156320640
501,516196382546089472
502,461634977743619584
503,175151622487013248
504,413551375760729472
505,249387589580453120
506,441780168569668864
507,442507736028401792
508,223928878873203840
509,441609194512096768
510,486517368260066816
511,2081258005379101824
512,435489793827423488
513,441883419583084160
514,435672999950860160
515,245279814138916096
516,248822990358657408
517,257082418627589760
518,441430214633926272
519,441750928431655040
520,435740134580675072
521,443512066880959360
522,413220216603327360
523,986999844152694016
524,166215371794216064
525,449235888195078400
526,417692273991883520
527,226367423865175808
528,450024375474467712
529,462361063436359552
530,435341737713359232
531,441451723829949056
532,184672564252033024
533,218209494262955392
534,2879481456904215040
535,2078670167328333696
536,441813566235162240
537,249369271541666304
538,3291404417280295680
539,441372971309927936
540,157092796835490048
541,254270933035932928
542,160052888295032320
543,217642936535856000
544,441447669380929792
545,227020465053797760
546,173480674049214592
547,443627416818824704
548,243047702455714944
549,219651916081208320
550,249859692385393408
551,249208987660681216
552,435441037356620032
553,241039788061910016
554,523114788890667776
555,231889927176318720
556,228093485323446016
557,2075983304509864576
558,218908371343213568
559,251533355242461312
560,399838472890381952
561,159035290283826944
562,250459888294482944
563,471793434393810304
564,1087158722013108480
565,173689959216216576
566,249044331494743296
567,442898474972498432
568,232476413551448320
569,1998329432495088768
570,245128631291349376
571,249475653589446272
572,226281726380017024
573,435660974042448640
574,185008190176816896
575,431201732842524544
576,156366157088672768
577,248022408454552704
578,271503230882302592
579,219964005583311360
580,249347319967809024
581,438542484780496512
582,243190982563599744
583,457324617289144576
584,2219953975514281088
585,1981192070618855808
586,2085544240999945728
587,435662657669546752
588,2070558485928064768
589,249057839170377728
590,518689426383051008
591,2026308743592141952
592,250324854522686848
593,441901286646534656
594,230218978737444736
595,176770034888040064
596,425805913888427648
597,248972833178404480
598,237854812113966592
599,253910224501257856
600,426117827290256896
601,2172729092111334016
602,2075754331210278400
603,466184138385727744
604,178581445929766656
605,2078418619682499200
606,169868125520651776
607,440116122138729856
608,513536358982060032
609,188874420957475968
610,436365692276945792
611,251255969072541056
612,248624665950977536
