NGTS_ID,Gaia_ID,RA,Dec,NGTS_mag,G_mag,BP_mag,RP_mag,Ks_mag,GmK,SpT,mult,amp_data,amp_GP,P_GP,P_GPue,P_GPle,P_LS,P_GACF,method,P_adopt,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G
4846,2332965216587822464,23:58:55.678,-29:07:33.992,12.53,12.98,13.48,12.34,10.92,2.06,K3,c,32.65,32.49,1.16438,0.00112,0.00125,1.16898,1.16795,GP,1.16438,2332965216587822464,1.1400000000000006,2332965216587822464,0.09984872,-0.017278671,359.73189841344794,-29.12608378780078,4.241854491356583,0.01891134,224.30217,18.38452464477608,2.4681715571902503,1.011883,708.39355,12.963198,177.48944,93442.48276517885,226.50124,1.2243294,0,0,0,0,1.1260328,0.48436928,0.64166355,3.9791903,3.9894118,2,20.817484,nan,nan,20.07820465229228,-78.25826976509425,347.26877694065047,-26.419698005201973,0,5233.1694,5215.164,5257.1553,0.3881,0.3127,0.1675,4930.432669092962,0,False,0.017278671,False,6.100976542134013
5076,2320989851334122752,00:04:54.072,-29:09:10.699,11.92,13.08,13.22,12.0,10.29,2.79,K7,c,68.95,54.34,1.55893,0.03577,0.03149,1.93032,1.973,GP,1.55893,2320989851334122752,1.2200000000000006,2320989851334122752,0.13042869,0.008991241,1.2254632272914103,-29.152849032455574,4.216589558391594,0.09083372,46.42097,19.261364642286367,2.271215695036715,4.651317,592.05206,13.091818,34.323856,127970.39854240582,38.5236,1.792909,0,33,0,32,1.2801228,0.16842651,1.1116962,-3.1813283,4.7751927,2,10.751483,nan,nan,19.054619830658876,-79.54816260769644,348.56315168927824,-27.024590971554723,0,nan,nan,nan,nan,nan,nan,4760.572175198824,1,True,0.008991241,False,6.216624500699512
7182,2320981394542904192,00:04:54.544,-29:26:27.899,14.56,15.09,16.01,14.16,12.18,2.91,K9,--,25.22,17.89,10.77166,0.13253,0.14176,10.6268,10.6667,GP,10.77166,2320981394542904192,1.8500000000000014,2320981394542904192,0.062125694,-0.013076782,1.2275062219059645,-29.441142447938777,4.125995725144807,0.028348438,145.54579,18.19236220087976,2.677719961473223,0.93252337,1677.0625,15.080639,264.73322,17425.12483959442,555.1784,1.3098427,0,0,0,0,1.8468685,0.91118526,0.93568325,24.394667,11.706137,2,4.580601,nan,nan,17.487291421735527,-79.50409395531909,348.4201299483815,-27.283283104469437,0,4053.6323,4050.9917,4058.54,0.5042,0.3614,0.197,3923.4377622908996,0,False,0.013076782,False,8.158282753869141
7670,2320933157765826560,00:05:18.358,-29:30:05.447,10.87,11.21,11.6,10.7,9.66,1.55,G7,c,25.17,24.95,0.85993,0.00389,0.00342,0.8478,5.8598,GP,0.85993,2320933157765826560,0.9000000000000004,2320933157765826560,0.23224384,0.0054121017,1.3267510052875742,-29.501551292872286,4.1657459436707445,0.021527596,193.50726,18.40061122937913,2.8292522684691144,1.1342356,1174.4802,11.21567,338.567,420274.1287245994,459.0334,1.2027403,0,0,0,0,0.88974,0.36313438,0.5266056,5.0984936,2.3459356,1,56.237247,100.70499,21.42735,17.075882620466583,-79.57850759858326,348.4766605195637,-27.3759790685648,0,5439.6704,5385.2925,5511.703,0.043,0.0356,0.0192,5573.444665210215,0,False,0.0054121017,False,4.314133532476642
8811,2320881377640416640,00:02:51.079,-29:39:45.445,13.86,14.28,15.01,13.45,11.58,2.7,K6.5,--,74.71,81.08,1.18205,0.00073,0.00071,1.18279,1.18312,GP,1.18205,2320881377640416640,1.5600000000000005,2320881377640416640,0.04248769,0.0003042221,0.713058585415286,-29.662678420573517,4.2514688475921645,0.02026963,209.74576,19.32054387034098,2.12702074464341,1.0197096,455.77322,14.281043,120.809326,33145.8333980054,158.63342,1.2798848,0,0,0,0,1.5582361,0.7240162,0.83421993,31.349014,8.599104,2,8.627229,nan,nan,16.74032516707494,-79.02450795933616,347.8582802243548,-27.281133770289788,0,4121.213,4116.1934,4128.8125,0.007,0.0051,0.0028,4236.970065933918,0,False,0.0003042221,False,7.423738058447945
9443,2320874054720005248,00:03:06.827,-29:44:46.361,14.11,14.6,15.41,13.72,11.83,2.77,K7,--,36.09,36.67,5.86404,0.02035,0.02179,5.83817,5.8598,GP,5.86404,2320874054720005248,1.6899999999999995,2320874054720005248,0.037831552,-0.015764236,0.778691104580573,-29.74626717178234,4.243456455902075,0.023451217,180.94824,18.08755769183884,2.848374127705703,0.9846534,1692.9856,14.583324,418.30728,26072.551561315307,638.80023,1.2905097,0,25,0,0,1.6750193,0.7991314,0.8758879,-9.334608,6.9794054,2,7.335346,nan,nan,16.252606922819442,-79.06508181643987,347.87353311875677,-27.381400294898256,0,4178.3823,4174.521,4183.7324,0.3237,0.2369,0.1269,4088.1327312071708,0,False,0.015764236,False,7.721923182553379
9681,2320862200611102848,00:01:46.446,-29:46:38.498,11.76,12.08,12.47,11.53,10.41,1.66,G9,c,28.14,33.26,2.34444,0.00701,0.00739,2.35688,2.3459,GP,2.34444,2320862200611102848,0.9400000000000013,2320862200611102848,0.26000807,-0.0014801025,0.44372056952986866,-29.777423353479293,4.275770248723719,0.014273414,299.56183,18.613720106653513,2.2077300320478557,0.9616418,833.2825,12.078456,233.18611,194609.26461393497,316.59656,1.2108539,0,1,0,1,0.93562126,0.3821516,0.55346966,4.712476,6.2986903,1,37.278446,47.408722,40.643814,16.37594601255059,-78.773593038938,347.56514793669,-27.27906470604059,0,5747.264,5721.7896,5767.657,0.3316,0.2755,0.1479,5453.991757399257,0,False,0.0014801025,False,5.233527730412142
10182,2320860074602561408,00:01:22.805,-29:50:36.332,12.15,12.61,13.08,12.0,10.64,1.97,K2.5,c,152.92,137.48,0.40712,7e-05,6e-05,0.40734,0.40733,GP,0.40712,2320860074602561408,1.08,2320860074602561408,0.19232154,-0.0015449524,0.34518660145884533,-29.843495257530776,4.314744520360676,0.015972685,270.13272,18.7516254566777,2.6904548500899743,1.0866282,292.91638,12.612134,86.27042,126590.73484483077,117.76768,1.2232616,0,2,0,0,1.0728483,0.45260525,0.6202431,-2.1776795,8.448612,1,26.611895,nan,nan,16.125235539135776,-78.67729980192836,347.4458432043466,-27.299882725261593,0,5449.2017,5437.5386,5460.746,0.4866,0.3959,0.2128,5072.826661645966,0,False,0.0015449524,False,5.786909409158541
10702,2320812486365053696,00:05:14.362,-29:54:23.679,11.73,12.14,12.61,11.54,10.28,1.87,K1.5,cr,15.48,14.81,6.26562,0.06002,0.06111,6.18699,6.263,GP,6.26562,2320812486365053696,1.0700000000000003,2320812486365053696,0.18825589,-0.009084702,1.3100933387181488,-29.906591367369572,4.227847219025516,0.019718237,214.41304,18.75906837740712,2.546082305412739,1.3763573,2182.1157,12.135443,642.2078,194543.6714197916,977.9925,1.2198709,0,0,0,0,1.0546703,0.44458008,0.61009026,8.640769,5.8070874,1,36.89767,25.584435,17.228996,14.906591508615541,-79.48402265202147,348.2571508830731,-27.731497139852493,0,4977.852,4975.7266,4981.6685,0.0023,0.0018,0.001,5097.831306649666,0,False,0.009084702,False,5.266039158241238
10890,2320847533296914560,00:02:19.698,-29:56:07.271,13.29,14.05,14.54,12.92,11.05,3.0,M0,c,33.57,29.87,6.18315,0.12652,0.07528,6.36913,6.3504,GP,6.18315,2320847533296914560,1.6199999999999992,2320847533296914560,2.6059585,0.112965584,0.5822526451752585,-29.935331684376173,4.258212836468743,0.0349421,121.864815,19.088308031933433,2.3744284668147246,1.4961947,716.4179,14.161049,175.50595,54470.56534915015,225.69214,1.8516092,0,32,0,32,1.6228199,0.36926174,1.2535582,-6.7924466,6.6851573,2,3.584501,nan,nan,15.457630227972432,-78.861074142815,347.6064619230508,-27.474062251006842,0,nan,nan,nan,nan,nan,nan,4166.176189481596,1,True,0.112965584,True,7.307185713180184
